,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta0,2.088,0.064,1.965,2.208,0.002,0.001,1214.0,1217.0,1.0
beta1,1.538,0.044,1.452,1.618,0.001,0.001,1098.0,1258.0,1.0
alpha0,-0.538,0.049,-0.627,-0.442,0.002,0.001,616.0,936.0,1.0
alpha1,0.417,0.017,0.384,0.448,0.001,0.0,650.0,1046.0,1.0
y_pred[0],2.472,0.642,1.313,3.698,0.014,0.014,2067.0,1462.0,1.0
y_pred[1],9.446,4.102,2.326,17.521,0.085,0.094,2367.0,1281.0,1.0
y_pred[2],6.79,2.099,2.828,10.644,0.041,0.053,2582.0,1400.0,1.0
y_pred[3],2.304,0.606,1.141,3.391,0.012,0.013,2677.0,1542.0,1.0
y_pred[4],9.136,3.984,1.746,16.688,0.078,0.104,2659.0,1216.0,1.0
y_pred[5],7.176,2.352,2.925,11.635,0.048,0.058,2420.0,1232.0,1.0
y_pred[6],8.596,3.455,2.093,14.986,0.067,0.084,2691.0,1254.0,1.0
y_pred[7],7.997,2.8,3.049,13.478,0.062,0.064,2046.0,1408.0,1.0
y_pred[8],4.807,1.272,2.523,7.259,0.026,0.031,2396.0,1687.0,1.01
y_pred[9],6.237,1.808,3.047,9.742,0.034,0.044,2857.0,1361.0,1.0
y_pred[10],6.264,1.743,3.112,9.682,0.031,0.045,3126.0,1371.0,1.0
y_pred[11],4.019,1.022,2.249,6.045,0.018,0.028,3160.0,1212.0,1.0
y_pred[12],2.249,0.587,1.153,3.347,0.012,0.013,2369.0,1529.0,1.0
y_pred[13],4.767,1.268,2.351,6.989,0.025,0.028,2570.0,1440.0,1.0
y_pred[14],3.048,0.746,1.579,4.38,0.016,0.018,2122.0,1217.0,1.0
y_pred[15],7.816,2.901,2.114,13.035,0.054,0.077,2920.0,1346.0,1.0
y_pred[16],2.877,0.724,1.56,4.289,0.014,0.017,2693.0,1460.0,1.0
y_pred[17],8.715,3.45,2.278,15.204,0.072,0.081,2310.0,1128.0,1.0
y_pred[18],4.723,1.191,2.58,6.963,0.022,0.027,2918.0,1492.0,1.0
y_pred[19],4.056,1.014,2.103,5.891,0.021,0.023,2401.0,1460.0,1.0
y_pred[20],9.683,4.337,1.619,17.847,0.085,0.109,2620.0,1341.0,1.0
y_pred[21],4.835,1.265,2.444,7.198,0.026,0.029,2433.0,1395.0,1.0
y_pred[22],4.115,1.005,2.197,5.952,0.018,0.023,3055.0,1461.0,1.0
y_pred[23],3.484,0.894,1.778,5.099,0.018,0.021,2559.0,1405.0,1.0
y_pred[24],4.341,1.031,2.487,6.303,0.022,0.023,2217.0,1458.0,1.0
y_pred[25],7.637,2.709,2.742,12.811,0.055,0.065,2385.0,1278.0,1.0
y_pred[26],6.814,2.055,2.852,10.461,0.042,0.047,2449.0,1451.0,1.0
y_pred[27],5.936,1.741,2.47,8.929,0.034,0.048,2650.0,1167.0,1.0
y_pred[28],5.283,1.452,2.61,8.057,0.03,0.032,2351.0,1347.0,1.0
y_pred[29],8.495,3.414,2.242,14.856,0.061,0.089,3139.0,1290.0,1.0
y_pred[30],5.206,1.368,2.615,7.781,0.027,0.033,2548.0,1415.0,1.0
